RESPONSEID,HASQCCHECK,QC_ASSESSMENTTYPE,FOODCATEGORY,SUBCATEGORY,QC_DATE,ISSUEPERCENT,ISQCISSUE
2110000,True,Arrival check,Fruit,Mango,2019-09-06T11:16:58.29Z,0.0,False
2112723,True,Arrival check,Fruit,Mango,2019-09-10T07:26:41.213Z,1.0,True
2117829,True,Arrival check,Fruit,Mango,2019-09-17T08:03:04.387Z,0.0,False
2118771,True,Arrival check,Fruit,Mango,2019-09-19T06:47:14.437Z,0.0,False
2118784,True,Arrival check,Fruit,Mango,2019-09-18T09:38:34.18Z,0.0,False
2119727,True,Arrival check,Fruit,Mango,2019-09-19T06:24:59.697Z,0.5,True
2120654,True,Arrival check,Fruit,Mango,2019-09-20T08:17:40.307Z,0.0,False
2122243,True,Arrival check,Fruit,Mango,2019-09-22T06:38:23.04Z,1.0,True
2124329,True,Arrival check,Fruit,Mango,2019-09-25T10:53:30.597Z,1.0,True
2125271,True,Arrival check,Fruit,Mango,2019-09-26T08:17:12.787Z,0.0,False
2127517,True,Arrival check,Fruit,Mango,2019-09-29T09:29:13.827Z,1.0,True
2127524,True,Arrival check,Fruit,Mango,2019-09-29T08:58:07.51Z,0.0,False
2128163,True,Arrival check,Fruit,Mango,2019-09-30T10:41:15.51Z,0.5,True
2128670,True,Arrival check,Fruit,Mango,2019-10-01T08:01:01.253Z,1.0,True
2128682,True,Arrival check,Fruit,Mango,2019-10-01T10:55:05.81Z,1.0,True
2129395,True,Arrival check,Fruit,Mango,2019-10-02T10:58:43.347Z,0.5,True
2131234,True,Arrival check,Fruit,Mango,2019-10-04T11:45:02.763Z,1.0,True
2132060,True,Arrival check,Fruit,Mango,2019-10-05T09:26:23.78Z,0.33,True
2132739,True,Arrival check,Fruit,Mango,2019-10-06T08:50:13.747Z,1.0,True
2133751,True,Arrival check,Fruit,Mango,2019-10-08T09:48:19.253Z,0.0,False
2133764,True,Arrival check,Fruit,Mango,2019-10-08T09:51:44.49Z,0.5,True
2135458,True,Arrival check,Fruit,Mango,2019-10-10T08:45:14.933Z,1.0,True
2136179,True,Arrival check,Fruit,Mango,2019-10-11T08:56:40.557Z,1.0,True
2136898,True,Arrival check,Fruit,Mango,2019-10-12T11:28:25.12Z,1.0,True
2136994,True,Arrival check,Fruit,Mango,2019-10-12T08:26:57.453Z,0.67,True
2137703,True,Arrival check,Fruit,Mango,2019-10-13T07:38:50.353Z,0.0,False
2139494,True,Arrival check,Fruit,Mango,2019-10-16T10:25:00.73Z,1.0,True
2139495,True,Arrival check,Fruit,Mango,2019-10-16T09:36:41.283Z,0.0,False
2140390,True,Arrival check,Fruit,Mango,2019-10-17T04:55:05.333Z,0.75,True
2141238,True,Arrival check,Fruit,Mango,2019-10-18T05:17:39.657Z,0.75,True
2142861,True,Arrival check,Fruit,Mango,2019-10-20T07:24:49.737Z,0.67,True
2145618,True,Arrival check,Fruit,Mango,2019-10-24T05:00:20.103Z,0.5,True
2146549,True,Arrival check,Fruit,Mango,2019-10-25T06:31:15.053Z,0.0,False
2147367,True,Arrival check,Fruit,Mango,2019-10-26T04:43:40.217Z,1.0,True
2149155,True,Arrival check,Fruit,Mango,2019-10-29T08:56:04.053Z,1.0,True
2150000,True,Arrival check,Fruit,Mango,2019-10-30T09:41:16.983Z,1.0,True
2151067,True,Arrival check,Fruit,Mango,2019-10-31T09:40:20.45Z,1.0,True
2152821,True,Arrival check,Fruit,Mango,2019-11-02T04:41:15.84Z,0.0,False
2153460,True,Arrival check,Fruit,Mango,2019-11-03T08:24:14.653Z,1.0,True
2154679,True,Arrival check,Fruit,Mango,2019-11-05T04:50:55.987Z,0.5,True
2155460,True,Arrival check,Fruit,Mango,2019-11-06T09:07:38.94Z,1.0,True
2156254,True,Arrival check,Fruit,Mango,2019-11-07T05:09:20.313Z,0.29,True
2156329,True,Arrival check,Fruit,Mango,2019-11-07T08:25:26.04Z,1.0,True
2156338,True,Arrival check,Fruit,Mango,2019-11-07T05:09:20.313Z,0.29,True
2157045,True,Arrival check,Fruit,Mango,2019-11-08T05:04:59.817Z,0.5,True
2157387,True,Arrival check,Fruit,Mango,2019-11-08T04:48:41.933Z,0.6,True
2157989,True,Arrival check,Fruit,Mango,2019-11-09T08:27:04.107Z,1.0,True
2158022,True,Arrival check,Fruit,Mango,2019-11-09T08:27:04.107Z,1.0,True
2159852,True,Arrival check,Fruit,Mango,2019-11-12T05:27:35.573Z,0.6,True
2159853,True,Arrival check,Fruit,Mango,2019-11-12T08:06:47.843Z,0.5,True
2160421,True,Arrival check,Fruit,Mango,2019-11-13T08:10:58.607Z,0.0,False
2163022,True,Arrival check,Fruit,Mango,2019-11-16T06:50:06.38Z,1.0,True
2163626,True,Arrival check,Fruit,Mango,2019-11-17T10:38:24.02Z,0.0,False
2164878,True,Arrival check,Fruit,Mango,2019-11-19T05:39:13.253Z,0.25,True
2165520,True,Arrival check,Fruit,Mango,2019-11-20T08:01:39.927Z,0.5,True
2166506,True,Arrival check,Fruit,Mango,2019-11-22T13:30:15.857Z,0.0,False
2166584,True,Arrival check,Fruit,Mango,2019-11-21T07:07:17.187Z,0.0,False
2166590,True,Arrival check,Fruit,Mango,2019-11-21T05:01:37.503Z,0.67,True
2167462,True,Arrival check,Fruit,Mango,2019-11-21T07:07:17.187Z,0.0,False
2167463,True,Arrival check,Fruit,Mango,2019-11-22T08:44:34.567Z,1.0,True
2167836,True,Chilled Arrival,Dairy,Cheese,2019-11-26T19:50:59.943Z,0.0,False
2168069,True,Arrival check,Fruit,Mango,2019-11-23T09:29:04.263Z,0.4,True
2168153,True,Arrival check,Fruit,Mango,2019-11-23T06:23:36.147Z,1.0,True
2168730,True,Arrival check,Fruit,Mango,2019-11-24T04:52:36.693Z,1.0,True
2169353,True,Arrival check,Fruit,Mango,2019-11-25T05:24:24.38Z,0.8,True
2169353,True,Rack Inspection,Fruit,Mango,2019-11-26T05:09:02.977Z,1.0,True
2169576,True,Arrival check,Fruit,Mango,2019-11-26T06:05:59.46Z,0.5,True
2169577,True,Arrival check,Fruit,Mango,2019-11-26T08:15:01.093Z,0.0,False
2170718,True,Arrival check,Fruit,Mango,2019-11-27T07:29:32.52Z,0.0,False
2171417,True,Arrival check,Fruit,Mango,2019-11-28T08:24:53.51Z,0.0,False
2172178,True,Arrival check,Fruit,Mango,2019-11-29T05:09:49.12Z,0.25,True
2173007,True,Arrival check,Fruit,Mango,2019-11-30T08:30:01.86Z,0.0,False
2173826,True,Arrival check,Fruit,Mango,2019-12-01T05:30:25.887Z,0.86,True
2174300,True,Arrival check,Fruit,Mango,2019-12-02T10:55:26.44Z,0.0,False
2174678,True,Chilled Arrival,Dairy,Cheese,2019-12-06T05:42:50.923Z,0.0,False
2175072,True,Arrival check,Fruit,Mango,2019-12-03T11:17:54.073Z,0.0,False
2175137,True,Arrival check,Fruit,Mango,2019-12-03T06:49:48.62Z,1.0,True
2175998,True,Arrival check,Fruit,Mango,2019-12-04T05:03:32.103Z,1.0,True
2178242,True,Arrival check,Fruit,Mango,2019-12-07T05:17:56.93Z,0.0,False
2181713,True,Arrival check,Fruit,Mango,2019-12-12T05:34:38.95Z,1.0,True
2182814,True,Arrival check,Fruit,Mango,2019-12-13T05:19:29.37Z,0.0,False
2185906,True,Arrival check,Fruit,Mango,2019-12-18T01:22:42.417Z,1.0,True
2188451,True,Arrival check,Fruit,Mango,2019-12-21T03:43:53.867Z,1.0,True
2189332,True,Arrival check,Fruit,Mango,2019-12-22T05:37:06.823Z,0.0,False
2192038,True,Arrival check,Fruit,Mango,2019-12-27T06:41:47.003Z,0.0,False
2193988,True,Arrival check,Fruit,Mango,2019-12-30T11:14:52.08Z,0.0,False
2198286,True,Arrival check,Fruit,Mango,2020-01-05T05:33:44.313Z,0.25,True
2199165,True,Arrival check,Fruit,Mango,2020-01-07T06:29:01.347Z,0.33,True
2200804,True,Arrival check,Fruit,Mango,2020-01-09T08:29:04.823Z,0.0,False
2201604,True,Arrival check,Fruit,Mango,2020-01-10T08:56:39.887Z,0.0,False
2201718,True,Arrival check,Fruit,Mango,2020-01-10T11:32:50.437Z,0.0,False
2206610,True,Chilled Arrival,Dairy,Cheese,2020-01-21T08:00:27.663Z,0.0,False
2208922,True,Chilled Arrival,Dairy,Cheese,2020-01-24T07:26:07.177Z,0.0,False
2209895,True,Arrival check,Fruit,Mango,2020-01-22T07:20:47.313Z,0.5,True
2211471,True,Arrival check,Fruit,Mango,2020-01-24T07:33:20.35Z,0.0,False
2212524,True,Chilled Arrival,Dairy,Cheese,2020-01-29T08:56:47.557Z,0.0,False
2213494,True,Arrival check,Fruit,Mango,2020-01-27T08:40:32.537Z,0.0,False
2214022,True,Arrival check,Fruit,Mango,2020-01-28T08:20:00.127Z,0.0,False
2214393,True,Chilled Arrival,Meat,Ham,2020-01-31T09:49:31.873Z,0.0,False
2214406,True,Chilled Arrival,Dairy,Cheese,2020-02-03T06:51:27.577Z,0.0,False
2214418,True,Chilled Arrival,Meat,Ham,2020-01-31T09:49:31.873Z,0.0,False
2217028,True,Chilled Arrival,Dairy,Cheese,2020-02-06T08:26:58.85Z,0.0,False
