RESPONSEID,BARCODE,FOODCATEGORY,SUBCATEGORY,HIGHTHRESHOLD,LOWTHRESHOLD,DEPARTURE_DATE,ARRIVAL_DATE,ROUTEID
2253712,GCF1C00QE0,Meat,Ham,2.0,-1.5,2020-03-19T09:04:43Z,2020-03-24T15:44:43Z,672-842359001208
2253715,GCF1C00QN0,Meat,Ham,2.0,-1.5,2020-03-19T09:07:38Z,2020-03-24T15:07:38Z,672-842359001208
2167836,GD81C03FX0,Dairy,Cheese,,,2019-11-22T10:17:42Z,2019-11-26T09:47:42Z,11691-842359001208
2206610,GD81C03G70,Dairy,Cheese,,,2020-01-16T13:13:35Z,2020-01-21T10:43:35Z,11691-842359001208
2212524,GD81C03GF0,Dairy,Cheese,4.0,0.0,2020-01-24T11:16:14Z,2020-01-29T10:46:14Z,11691-842359001208
2208922,GD81C05FY0,Dairy,Cheese,4.0,0.0,2020-01-20T07:04:53Z,2020-01-24T10:04:53Z,11691-842359001208
2174678,GD81C05HW0,Dairy,Cheese,,,2019-12-02T10:51:05Z,2019-12-06T07:51:05Z,11691-842359001208
2307446,GEF1C00520,Vegetable,Mushrooms,4.0,0.0,2020-06-05T13:09:50Z,2020-06-06T03:44:50Z,375-842359001167
2309623,GEF1C005Q0,Vegetable,Mushrooms,4.0,0.0,2020-06-09T07:52:53Z,2020-06-12T17:47:53Z,375-842359001209
2238563,GFH1C024S0,Meat,Ham,2.0,-1.5,2020-02-28T19:24:52Z,2020-03-05T13:14:52Z,672-842359001208
2295244,GHC8C08AA0,Vegetable,Zucchini,15.0,6.0,2020-05-20T10:47:43Z,2020-05-22T02:22:43Z,11670-842359001167
2112723,GHC8C0D1A0,Fruit,Mango,12.0,8.0,2019-09-09T14:25:43Z,2019-09-10T06:40:43Z,441-842359001167
2296540,GHC8C0D1K0,Vegetable,Mushrooms,4.0,0.0,2020-05-22T08:35:05Z,2020-05-25T08:10:05Z,375-842359001209
2293964,GHC8C0D2D0,Vegetable,Mushrooms,4.0,0.0,2020-05-19T09:43:32Z,2020-05-20T02:18:32Z,375-842359001167
2125271,GHC8C0DCD0,Fruit,Mango,12.0,8.0,2019-09-25T12:46:35Z,2019-09-26T07:01:35Z,441-842359001204
2293961,GHC8C0DQT0,Vegetable,Mushrooms,4.0,0.0,2020-05-19T07:26:45Z,2020-05-22T08:06:45Z,375-842359001209
2297375,GHC8C0E580,Vegetable,Mushrooms,4.0,0.0,2020-05-23T07:42:57Z,2020-05-24T04:42:57Z,375-842359001204
2140390,GHC8C0E5Y0,Fruit,Mango,12.0,8.0,2019-10-16T11:47:45Z,2019-10-17T04:52:45Z,441-842359001167
2307005,GHC8C0E800,Vegetable,Mushrooms,4.0,0.0,2020-05-24T07:35:11Z,2020-05-27T08:30:11Z,375-842359001209
2117829,GHC8C0E8X0,Fruit,Mango,12.0,8.0,2019-09-16T12:44:26Z,2019-09-17T07:49:26Z,441-842359001204
2295739,GHC8C0E9G0,Vegetable,Mushrooms,4.0,0.0,2020-05-21T09:15:25Z,2020-05-22T02:25:25Z,375-842359001167
2110000,GHC8C0EFD0,Fruit,Mango,12.0,8.0,2019-09-05T12:56:45Z,2019-09-06T08:11:45Z,441-842359001167
2119727,GHC8C0EH90,Fruit,Mango,12.0,8.0,2019-09-18T11:39:29Z,2019-09-19T16:59:29Z,441-842359001167
2118784,GHC8C0FHT0,Fruit,Mango,12.0,8.0,2019-09-17T11:51:53Z,2019-09-18T09:16:53Z,441-842359001204
2120654,GHC8C0FSZ0,Fruit,Mango,12.0,8.0,2019-09-19T12:09:20Z,2019-09-20T07:54:20Z,441-842359001204
2118771,GHC8C0FT00,Fruit,Mango,12.0,8.0,2019-09-17T11:51:34Z,2019-09-19T05:31:34Z,441-842359001167
2122243,GHC8C0FVB0,Fruit,Mango,12.0,8.0,2019-09-21T11:03:56Z,2019-09-22T04:53:56Z,441-842359001167
2124329,GHC8C0GJA0,Fruit,Mango,12.0,8.0,2019-09-24T12:31:52Z,2019-09-25T09:26:52Z,441-842359001204
2163022,GHC8C0HWE0,Fruit,Mango,12.0,8.0,2019-11-15T12:55:02Z,2019-11-16T06:15:02Z,441-842359001167
2131234,GHE8C018G0,Fruit,Mango,12.0,8.0,2019-10-02T09:20:42Z,2019-10-04T11:25:42Z,441-842359001204
2133764,GHE8C0HC00,Fruit,Mango,12.0,8.0,2019-10-07T11:05:16Z,2019-10-08T07:20:16Z,441-842359001167
2141238,GHE8C0HC10,Fruit,Mango,12.0,8.0,2019-10-17T10:51:38Z,2019-10-18T05:01:38Z,441-842359001167
2127524,GHE8C0HC70,Fruit,Mango,12.0,8.0,2019-09-28T11:11:37Z,2019-09-29T08:56:37Z,441-842359001204
2160421,GHE8C0HCD0,Fruit,Mango,12.0,8.0,2019-11-12T10:42:43Z,2019-11-13T06:42:43Z,441-842359001204
2139494,GHE8C0HCQ0,Fruit,Mango,12.0,8.0,2019-10-15T10:54:53Z,2019-10-16T06:24:53Z,441-842359001167
2128163,GHE8C0HNA0,Fruit,Mango,12.0,8.0,2019-09-29T12:11:19Z,2019-09-30T10:41:19Z,441-842359001204
2127517,GHE8C0HNB0,Fruit,Mango,12.0,8.0,2019-09-28T11:11:18Z,2019-09-29T07:16:18Z,441-842359001167
2132060,GHE8C0HNC0,Fruit,Mango,12.0,8.0,2019-10-04T11:26:53Z,2019-10-05T07:41:53Z,441-842359001204
2262395,GHE8C0J1D0,Fruit,Mango,12.0,8.0,2019-10-31T10:54:06Z,2019-11-01T07:59:06Z,441-842359001167
2147367,GHE8C0J2C0,Fruit,Mango,12.0,8.0,2019-10-28T15:01:20Z,2019-10-28T15:31:20Z,441-842359001167
2151067,GHE8C0J2D0,Fruit,Mango,12.0,8.0,2019-10-30T12:39:51Z,2019-10-31T08:14:51Z,441-842359001167
2156254,GHE8C0J2E0,Fruit,Mango,12.0,8.0,2019-11-06T12:34:28Z,2019-11-07T03:54:28Z,441-842359001167
2153460,GHE8C0J2K0,Fruit,Mango,12.0,8.0,2019-11-02T13:51:36Z,2019-11-03T07:31:36Z,441-842359001167
2150000,GHE8C0J2Q0,Fruit,Mango,12.0,8.0,2019-10-29T11:09:08Z,2019-10-30T09:34:08Z,441-842359001167
2152821,GHE8C0J2S0,Fruit,Mango,12.0,8.0,2019-11-01T13:04:18Z,2019-11-02T04:29:18Z,441-842359001167
2156329,GHE8C0J2T0,Fruit,Mango,12.0,8.0,2019-11-06T13:31:52Z,2019-11-07T07:31:52Z,441-842359001204
2149155,GHE8C0J9X0,Fruit,Mango,12.0,8.0,2019-10-28T11:34:33Z,2019-10-29T04:49:33Z,441-842359001167
2155460,GHE8C0JQM0,Fruit,Mango,12.0,8.0,2019-11-05T13:00:08Z,2019-11-06T09:15:08Z,441-842359001167
2157045,GHE8C0JQQ0,Fruit,Mango,12.0,8.0,2019-11-07T12:14:45Z,2019-11-08T05:14:45Z,441-842359001167
2146549,GHE8C0JXG0,Fruit,Mango,12.0,8.0,2019-10-24T12:04:12Z,2019-10-25T04:29:12Z,441-842359001167
2157387,GHE8C0JXQ0,Fruit,Mango,12.0,8.0,2019-11-07T16:51:36Z,2019-11-08T04:01:36Z,441-842359001211
2136898,GHE8C0KAK0,Fruit,Mango,12.0,8.0,2019-10-11T12:13:48Z,2019-10-12T15:43:48Z,441-842359001204
